corigin,corigin_with_label,newgroup
2,[2] Turkey,TUR
3,[3] Ex-Yugoslavia,Ex-Yugoslavia
4,[4] Greece,South Europe
5,[5] Italy,South Europe
6,[6] Spain,South Europe
10,[10] Austria,Non-South Europe
11,[11] France,Non-South Europe
12,[12] Benelux,Non-South Europe
13,[13] Denmark,Non-South Europe
14,[14] Great Britain,Non-South Europe
15,[15] Sweden,Non-South Europe
16,[16] Norway,Non-South Europe
17,[17] Finland,Non-South Europe
18,[18] USA,Other
19,[19] Switzerland,Non-South Europe
20,[20] Chile,Other
21,[21] Romania,Non-South Europe
22,[22] Poland,Non-South Europe
23,[23] Korea,Asia
24,[24] Iran,West Asia
25,[25] Indonesia,Asia
26,[26] Hungary,Non-South Europe
27,[27] Bolivia,Other
28,[28] Portugal,South Europe
29,[29] Bulgaria,Non-South Europe
30,[30] Syria,West Asia
31,[31] Czech Republic,Non-South Europe
32,[32] Russia,Former Soviet Union
34,[34] Mexico,Other
35,[35] Argentina,Other
37,[37] Benin,Africa
38,[38] Philippines,Asia
39,[39] Israel,West Asia
40,[40] Japan,Asia
41,[41] Australia,Other
42,[42] India,Asia
43,[43] Afghanistan,West Asia
44,[44] Thailand,Asia
45,[45] Jamaica,Other
46,[46] Saudi Arabia,West Asia
47,[47] Ethiopia,Africa
48,[48] Columbia,Other
49,[49] Ghana,Africa
50,[50] Bangladesh,Asia
51,[51] Venezuela,Other
52,[52] Tunisia,Africa
53,[53] Mauritius,Africa
54,[54] Nigeria,Africa
55,[55] Canada,Other
56,[56] New Zealand,Other
57,[57] Tanzania,Africa
59,[59] Cuba,Other
60,[60] Iraq,West Asia
61,[61] Brazil,Other
63,[63] Hong Kong,Asia
64,[64] Peru,Other
65,[65] Sri Lanka,Asia
66,[66] Nepal,Asia
67,[67] Morocco,Africa
68,[68] China,Asia
71,[71] Ireland,Non-South Europe
73,[73] Moldavia,Former Soviet Union
74,[74] Kazakhstan,Former Soviet Union
75,[75] Albania,Non-South Europe
76,[76] Lebanon,West Asia
77,[77] Kyrgyzstan,Former Soviet Union
78,[78] Ukraine,Former Soviet Union
79,[79] Algeria,Africa
80,[80] Mozambique,Africa
81,[81] Egypt,Africa
82,[82] Tajikistan,Former Soviet Union
83,[83] Vietnam,Asia
84,[84] Somalia,Africa
85,[85] Pakistan,Asia
86,[86] South Africaica,Africa
87,[87] UAE,West Asia
88,[88] El Salvador,Other
89,[89] Eritrea,Africa
90,[90] Jordan,Africa
92,[92] Costa Rica,Other
94,[94] Burkina Faso,Africa
95,[95] Zambia,Africa
96,[96] Ecuador,Other
97,[97] Uzbekistan,Former Soviet Union
98,[98] No Nationality,Other
100,[100] Laos,Asia
101,[101] Estonia,Former Soviet Union
102,[102] Angola,Africa
103,[103] Latvia,Former Soviet Union
105,[105] Namibia,Africa
108,[108] Dominican Republic,Other
109,[109] Nicaragua,Other
110,[110] Kenya,Africa
111,[111] Libya,Africa
113,[113] Botswana,Africa
114,[114] Haiti,Other
116,[116] Luxembourg,Non-South Europe
117,[117] Belgium,Non-South Europe
118,[118] The Netherlands,Non-South Europe
119,[119] Croatia,Non-South Europe
120,[120] Bosnia-Herzegovina,Ex-Yugoslavia
121,[121] Macedonia,Non-South Europe
122,[122] Slovenia,Non-South Europe
123,[123] Slovakia,Non-South Europe
124,[124] Paraguay,Other
125,[125] Guinea,Africa
126,[126] Kuwait,West Asia
127,[127] Ivory Coast,Africa
128,[128] Malaysia,Asia
129,[129] Samoa,Other
130,[130] Azerbaijan,Former Soviet Union
132,[132] Belarus,Former Soviet Union
133,[133] Uruguay,Other
135,[135] Uganda,Africa
138,[138] Mali,Africa
139,[139] Cameroon,Africa
140,[140] Kosovo-Albania,Non-South Europe
141,[141] Georgia,Former Soviet Union
142,[142] Sudan,Africa
143,[143] Congo,Africa
144,[144] Togo,Africa
145,[145] Mongolia,Asia
146,[146] Lithuania,Former Soviet Union
147,[147] Chad,Africa
148,[148] Armenia,Former Soviet Union
149,[149] Kurdistan,West Asia
151,[151] Yemen,Africa
152,[152] Palestine,West Asia
154,[154] Taiwan,Asia
155,[155] Turkmenistan,Former Soviet Union
156,[156] Africaica,Africa
158,[158] Sierra Leone (West Africaica),Africa
162,[162] Senegal,Africa
165,[165] Serbia,Ex-Yugoslavia
166,[166] Gambia,Africa
167,[167] Honduras,Other
168,[168] Montenegro,Ex-Yugoslavia
169,[169] Cambodia,Asia
173,[173] Zimbabwe,Africa
174,[174] Madagascar,Africa
178,[178] Rwanda,Africa
181,[181] Myanmar,Asia
183,[183] Niger,Africa
196,[196] Kosovo,Non-South Europe
222,[222] Eastern Europe,Non-South Europe
